y_true;y_proba
0;0.29164864957406994
0;0.07584987159800373
0;0.18464370404317465
0;0.10992181884123416
1;0.1793412573241884
1;0.19513794814065183
0;0.04761285440057665
0;0.11990116722640504
1;0.6131376066085994
0;0.17344242638883586
0;0.16249469464739358
0;0.13137158053183082
0;0.15628477314338565
0;0.1264393122010082
0;0.10277268551127076
0;0.2598995886991647
0;0.17570472715386695
0;0.10892280541395764
0;0.15890703459408603
0;0.0639347905904119
0;0.6581145126722051
1;0.510136848383421
0;0.08021429774684675
1;0.12199382791241437
0;0.12932833993268228
0;0.1377537732435458
0;0.10831753325509555
0;0.14641626586637907
0;0.12396596286360181
0;0.36960016253978295
0;0.07236520001453335
1;0.20595325246281243
1;0.1455909424452699
0;0.1305126504690369
0;0.0771953966934904
0;0.12334569114783663
1;0.3782193965168147
1;0.07883281814617076
0;0.08038840136838722
1;0.10690184381561121
1;0.5749948338841999
0;0.21920570903574674
0;0.15633400868152184
0;0.3485993301682298
1;0.7006673951529244
1;0.6825638288501333
0;0.07781296419335934
0;0.4533390497405683
0;0.2191222395968968
0;0.30201658984225943
1;0.13497801880748508
1;0.5730051780925534
0;0.2683615158625431
1;0.17672229685934823
1;0.17160833912902998
0;0.1245276411363182
0;0.1075894141326092
0;0.17282964791576874
0;0.19855450439395667
0;0.07945734241705277
0;0.19281424310116718
0;0.08962947624583584
0;0.2432869460674948
0;0.07405610200243633
1;0.2186132888547309
0;0.1371878484454452
0;0.26665234761429
0;0.06449716628413425
1;0.32148175778121724
0;0.1523817049704291
0;0.12967699729495397
0;0.07153902282421842
0;0.0746403333434327
1;0.30842026458090127
1;0.345561823632132
1;0.10166856954941125
0;0.0681067279403088
1;0.11457991332230663
0;0.06024234156993913
0;0.145078986802249
0;0.20299898477789097
1;0.23031982147591185
1;0.3371391701693702
0;0.037696900813968745
0;0.42653633585785794
0;0.04927311245937888
1;0.428528691179927
0;0.14583407422501896
0;0.3521186563438409
0;0.1520009919067433
0;0.18496746681284076
0;0.20921518253820723
1;0.12462986561581521
1;0.3666379412359245
1;0.29794466710548995
0;0.3126640192070709
0;0.15860687047158187
0;0.1493053710097083
0;0.05719641847536351
0;0.13505936320100134
0;0.28306502318212556
1;0.4527493565786159
1;0.5510623159482028
0;0.2083861684354938
0;0.05969041085221535
1;0.3490938897319121
1;0.14313833464630216
0;0.08619199677854696
0;0.11572120664911809
0;0.12995145848088677
0;0.36911205853196405
0;0.1095779947258774
0;0.32004141922214563
0;0.25989561897659536
0;0.42482065280986697
1;0.3172402314969538
0;0.4229426925942802
0;0.4545169295866509
0;0.16145674301081728
0;0.06980219266393124
1;0.6445850319571184
0;0.06839230444183463
1;0.5825219320050099
1;0.4695081846671192
0;0.05736538508611292
1;0.2631731832093193
0;0.24035334495947425
1;0.3580761746028184
0;0.2996433678611073
1;0.17113700849354554
1;0.05628986112470573
0;0.05043459671422201
0;0.2663875177386537
0;0.030380594706453132
0;0.12228676666074702
0;0.3402035354189051
0;0.08169401417372184
1;0.46820617933873604
0;0.08514447764854008
1;0.49152080207096094
1;0.1573348094455901
0;0.05896869682313247
1;0.4738887110103854
0;0.032698908380651814
1;0.08356236110393889
0;0.09309651920892399
0;0.18279134049917103
0;0.1833510724560355
0;0.17758759856076067
1;0.055576097555889395
1;0.5360378567550597
1;0.10844466807292304
1;0.6217014096646019
0;0.188545212878102
1;0.5403275559111754
1;0.2293060747096958
0;0.24321577845268658
0;0.1713024858890732
1;0.3850681219949994
0;0.1065166025632964
0;0.12830791426293828
0;0.24345298171796956
0;0.10185440360904732
0;0.5381277966547054
0;0.17342996591339477
0;0.15074187715312362
0;0.28700009329910553
0;0.16958351414280964
1;0.12480828696118286
1;0.15749665810283262
0;0.1511232135951802
0;0.02824100604486343
0;0.2550442514025
0;0.052442431643058396
0;0.10643758976710649
0;0.34363350246513885
0;0.18252571652100716
0;0.07082675587778822
0;0.06769372540015017
1;0.6646318262896531
1;0.7068938523345374
0;0.14674458165744875
0;0.06020198760178209
0;0.051267326716808365
0;0.15966988728074988
1;0.23602138212462018
1;0.6276913051196944
1;0.8573510002693737
1;0.2153117013047599
1;0.4482652515281229
0;0.1291280369884874
0;0.13033098109994537
1;0.4619587121871599
0;0.29724722581249813
1;0.4898141801597365
0;0.2460631787726749
0;0.15726507615462318
0;0.135345872661066
0;0.3847684290587744
0;0.35365531529556815
0;0.10549881494244653
0;0.08663391754228458
0;0.7885015992605832
0;0.04034335531266178
0;0.061051714033000526
0;0.47101369788217967
0;0.08658186407230249
1;0.242216172044043
1;0.6457974064102276
0;0.15630943624918878
1;0.5875595227862644
0;0.12250950424512753
1;0.5
1;0.509330129497514
1;0.3470679595924341
1;0.4080982301071697
1;0.10989658908792574
0;0.10947296047230748
1;0.08705693892224468
0;0.3716483112134905
0;0.43643868067018327
0;0.15988854519243528
0;0.09841665138253314
1;0.57873406046259
0;0.16798372096699402
0;0.383514296186258
0;0.6716521765510179
